# M = 1.200e+00 M_sun, X = 7.20e-01, Y = 2.70e-01, Z = 1.00e-02
# Output model: R = 1.27843277e+00 R_sun, L = 2.4097e+00 L_sun, Teff = 6.3580e+03 K, Pc = 2.1041e+17 dyn cm^-2, Tc = 1.6361e+07 K
m r rho T P l eps kappa nabla_ad nabla_rad nabla_dlnT_dlnP shell_type
2.3868e+33 8.8979e+10 5.0163e-08 6.3584e+03 4.3374e+04 9.2194e+33 1.1726e-79 3.0956e-01 3.9989e-01 1.2515e-01 1.2515e-01 radiative
2.3868e+33 8.8979e+10 5.0159e-08 6.3583e+03 4.3371e+04 9.2194e+33 1.1717e-79 3.0951e-01 3.9989e-01 1.2512e-01 1.2512e-01 radiative
2.3868e+33 8.8979e+10 5.0156e-08 6.3583e+03 4.3367e+04 9.2194e+33 1.1710e-79 3.0947e-01 3.9989e-01 1.2510e-01 1.2510e-01 radiative
2.3868e+33 8.8979e+10 5.0154e-08 6.3582e+03 4.3365e+04 9.2194e+33 1.1704e-79 3.0944e-01 3.9989e-01 1.2508e-01 1.2508e-01 radiative
2.3868e+33 8.8979e+10 5.0152e-08 6.3582e+03 4.3363e+04 9.2194e+33 1.1700e-79 3.0941e-01 3.9989e-01 1.2507e-01 1.2508e-01 radiative
2.3868e+33 8.8979e+10 5.0150e-08 6.3582e+03 4.3362e+04 9.2194e+33 1.1696e-79 3.0939e-01 3.9989e-01 1.2506e-01 1.2507e-01 radiative
2.3868e+33 8.8979e+10 5.0149e-08 6.3581e+03 4.3360e+04 9.2194e+33 1.1693e-79 3.0937e-01 3.9989e-01 1.2505e-01 1.2506e-01 radiative
2.3868e+33 8.8979e+10 5.0148e-08 6.3581e+03 4.3359e+04 9.2194e+33 1.1691e-79 3.0936e-01 3.9989e-01 1.2505e-01 1.2505e-01 radiative
2.3868e+33 8.8979e+10 5.0147e-08 6.3581e+03 4.3359e+04 9.2194e+33 1.1689e-79 3.0935e-01 3.9989e-01 1.2504e-01 1.2505e-01 radiative
2.3868e+33 8.8979e+10 5.0147e-08 6.3581e+03 4.3358e+04 9.2194e+33 1.1688e-79 3.0934e-01 3.9989e-01 1.2504e-01 1.2505e-01 radiative
2.3868e+33 8.8979e+10 5.0146e-08 6.3581e+03 4.3357e+04 9.2194e+33 1.1687e-79 3.0934e-01 3.9989e-01 1.2503e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0146e-08 6.3581e+03 4.3357e+04 9.2194e+33 1.1686e-79 3.0933e-01 3.9989e-01 1.2503e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0145e-08 6.3581e+03 4.3357e+04 9.2194e+33 1.1685e-79 3.0933e-01 3.9989e-01 1.2503e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0145e-08 6.3581e+03 4.3356e+04 9.2194e+33 1.1685e-79 3.0933e-01 3.9989e-01 1.2503e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0145e-08 6.3581e+03 4.3356e+04 9.2194e+33 1.1684e-79 3.0932e-01 3.9989e-01 1.2503e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0145e-08 6.3581e+03 4.3356e+04 9.2194e+33 1.1684e-79 3.0932e-01 3.9989e-01 1.2503e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0145e-08 6.3581e+03 4.3356e+04 9.2194e+33 1.1684e-79 3.0932e-01 3.9989e-01 1.2502e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0145e-08 6.3581e+03 4.3356e+04 9.2194e+33 1.1683e-79 3.0932e-01 3.9989e-01 1.2502e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0144e-08 6.3581e+03 4.3356e+04 9.2194e+33 1.1683e-79 3.0932e-01 3.9989e-01 1.2502e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0144e-08 6.3581e+03 4.3356e+04 9.2194e+33 1.1683e-79 3.0932e-01 3.9989e-01 1.2502e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0144e-08 6.3581e+03 4.3356e+04 9.2194e+33 1.1683e-79 3.0932e-01 3.9989e-01 1.2502e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0144e-08 6.3580e+03 4.3356e+04 9.2194e+33 1.1683e-79 3.0932e-01 3.9989e-01 1.2502e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0144e-08 6.3580e+03 4.3356e+04 9.2194e+33 1.1683e-79 3.0932e-01 3.9989e-01 1.2502e-01 1.2504e-01 radiative
2.3868e+33 8.8979e+10 5.0144e-08 6.3580e+03 4.3356e+04 9.2194e+33 1.1682e-79 3.0931e-01 3.9989e-01 1.2502e-01 1.2504e-01 radiative
